data,aula
2022-03-03,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/processamento_texto.pdf">Processamento de texto</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/notebooks/Text_Processing.ipynb">Notebook</a> | <a href="https://drive.google.com/file/d/1nMiDFiA73niowvrxt8QiS_qIsQux9hHt/view?usp=sharing"> Vídeo da aula </a> - assíncrona
2022-03-07,Processamento de texto (dúvidas) e Definição do Projeto - síncrona
2022-03-08,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/intro_dl.pdf">Introdução a Redes Neurais</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/notebooks/nn.ipynb">Notebook</a>  | <a href="https://drive.google.com/file/d/1gU_kM06gIeBaJ7UgvI086RV8XSW4oxsF/view?usp=sharing"> Vídeo da aula </a> - assíncrona
2022-03-09,Introdução a Redes Neurais (dúvidas) - síncrona
2022-03-10,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/representation_learning.pdf">Representação de palavras</a> | <a href="https://colab.research.google.com/github/tensorflow/docs/blob/master/site/en/tutorials/keras/text_classification.ipynb">Notebook</a> | <a href="https://drive.google.com/file/d/1T6aX4WQ04nGBWELOBRs5ygJGLL_6rZBV/view?usp=sharing"> Vídeo da aula </a> - assíncrona
2022-03-11,Representação de palavras (dúvidas) - síncrona
2022-03-14,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/sequential_models.pdf">Deep Learning: Modelos sequenciais</a> | <a href="https://github.com/tensorflow/text/blob/master/docs/tutorials/text_classification_rnn.ipynb">Notebook</a> | <a href="https://drive.google.com/file/d/1hd6-A-phPQ5FkFDKW3znw7TbsYIY-8no/view?usp=sharing"> Vídeo da aula </a> - assíncrona  
2022-03-15,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/mt.pdf">Machine Translation</a> | <a href="https://www.tensorflow.org/text/tutorials/nmt_with_attention">Notebook</a> | <a href="https://drive.google.com/file/d/1S1mmjvDqUYZftq3IOxCG6C68wICRRmSN/view?usp=sharing"> Vídeo da aula </a> - assíncrona
2022-03-16,Deep Learning: Modelos sequenciais e Information Extraction (dúvidas) - síncrona
2022-03-17,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/lang_modeling.pdf">Language modeling</a> | <a href="https://github.com/ProfLuciano/pln/blob/main/notebooks/lm.ipynb">Notebook</a> | <a href="https://drive.google.com/file/d/1_Gw6CQfOM6eppAogGc1T1YS-fqGwP9Rs/view?usp=sharing"> Vídeo da aula </a> - assíncrona
2022-03-18,Language modeling (dúvidas) - síncrona
2022-03-21,<a href="https://github.com/ProfLuciano/pln/blob/main/slides/bert.pdf">Modelos contextuais (BERT)</a> | <a href="https://drive.google.com/file/d/1riArYeN9CINwZXYbiFW06skuLEp5DtWp/view?usp=sharing"> Vídeo da aula </a> - assíncrona
2022-03-22,Modelos contextuais (BERT) (dúvidas) - síncrona
2022-03-23,Acompanhamento
2022-03-25,Acompanhamento
2022-03-28,Acompanhamento
2022-03-30,Acompanhamento
2022-03-31,Acompanhamento
2022-04-01,Entrega do projeto
